0 0 59182999999999938807201792.000000 
0 1 59102000000000082430656512.000000 
0 2 59066500000000023898095616.000000 
0 3 59126500000000023134732288.000000 
0 4 59118500000000044425019392.000000 
0 5 59097000000000019501416448.000000 
0 6 59024500000000112049782784.000000 
0 7 59048000000000026424115200.000000 
0 8 59060000000000067503128576.000000 
0 9 59054000000000012603883520.000000 
0 10 59178500000000017891852288.000000 
0 11 59236500000000041778413568.000000 
0 12 59262000000000034582036480.000000 
0 13 59109500000000039385563136.000000 
0 14 58964999999999988539064320.000000 
0 15 59128000000000054039412736.000000 
0 16 59017999999999958086320128.000000 
0 17 58817000000000000157286400.000000 
0 18 59005499999999912432369664.000000 
0 19 59113500000000075985059840.000000 
0 20 59083999999999995042332672.000000 
1 0 59534999999999998466981888.000000 
1 1 59608749999999960305631232.000000 
1 2 59579250000000068341465088.000000 
1 3 59483249999999980227526656.000000 
1 4 59640250000000025188368384.000000 
1 5 59693499999999979843223552.000000 
1 6 59452000000000063661146112.000000 
1 7 59428500000000020437794816.000000 
1 8 59550000000000015456010240.000000 
1 9 59689999999999964998533120.000000 
1 10 59888499999999917232750592.000000 
1 11 59832249999999935128272896.000000 
1 12 59731250000000007423393792.000000 
1 13 59705749999999988849967104.000000 
1 14 59659999999999991150018560.000000 
1 15 59704250000000009484894208.000000 
1 16 59623750000000046014136320.000000 
1 17 59411999999999963954151424.000000 
1 18 59513250000000014205583360.000000 
1 19 59514999999999901368844288.000000 
1 20 59334999999999938018672640.000000 
2 0 59251999999999986032967680.000000 
2 1 59304249999999897178210304.000000 
2 2 59303500000000062114496512.000000 
2 3 59201749999999998698192896.000000 
2 4 59314000000000020749221888.000000 
2 5 59524499999999971112779776.000000 
2 6 59362499999999949122043904.000000 
2 7 59316749999999985781833728.000000 
2 8 59596000000000015443427328.000000 
2 9 59812999999999930791886848.000000 
2 10 59920249999999958633152512.000000 
2 11 59616999999999949892747264.000000 
2 12 59388000000000079364620288.000000 
2 13 59600000000000017683185664.000000 
2 14 59587499999999980619169792.000000 
2 15 59581249999999983561998336.000000 
2 16 59727499999999964521431040.000000 
2 17 59448750000000076873728000.000000 
2 18 59268249999999997279469568.000000 
2 19 59269999999999978932011008.000000 
2 20 59167500000000020322451456.000000 
3 0 57797499999999923220119552.000000 
3 1 57948000000000028965863424.000000 
3 2 58207000000000045141196800.000000 
3 3 58282500000000083121668096.000000 
