-5.876690e+07 	 0.000000e+00 	 -1.237481e+00 	 0.000000e+00 	 1.251119e+15 
-6.254404e+07 	 -1.592989e+05 	 -1.314376e+00 	 -2.070517e-03 	 1.272600e+15 
-6.702974e+07 	 -2.496242e+05 	 -1.406735e+00 	 -3.410050e-03 	 1.279735e+15 
-6.899962e+07 	 -2.658964e+05 	 -1.447224e+00 	 -3.795253e-03 	 1.249647e+15 
-6.855498e+07 	 -2.923209e+05 	 -1.437577e+00 	 -4.132396e-03 	 1.221548e+15 
-6.614289e+07 	 -3.130493e+05 	 -1.386902e+00 	 -4.469998e-03 	 1.198875e+15 
-6.238000e+07 	 -3.196707e+05 	 -1.307731e+00 	 -4.653478e-03 	 1.183183e+15 
-5.787654e+07 	 -3.030733e+05 	 -1.213079e+00 	 -4.325321e-03 	 1.174665e+15 
-5.294047e+07 	 -2.904973e+05 	 -1.109376e+00 	 -4.096275e-03 	 1.169572e+15 
-4.787212e+07 	 -2.912082e+05 	 -1.003204e+00 	 -4.101241e-03 	 1.168132e+15 
-4.313747e+07 	 -2.724636e+05 	 -9.038969e-01 	 -3.827499e-03 	 1.171914e+15 
-3.877369e+07 	 -2.728499e+05 	 -8.120034e-01 	 -3.840590e-03 	 1.175970e+15 
-3.466767e+07 	 -2.870154e+05 	 -7.257426e-01 	 -4.054014e-03 	 1.179128e+15 
-3.089455e+07 	 -2.675824e+05 	 -6.464496e-01 	 -3.669830e-03 	 1.183041e+15 
-2.740774e+07 	 -2.168501e+05 	 -5.730433e-01 	 -2.686151e-03 	 1.186272e+15 
-2.415733e+07 	 -1.635442e+05 	 -5.049110e-01 	 -1.441866e-03 	 1.189259e+15 
-2.115935e+07 	 -8.198371e+04 	 -4.421925e-01 	 3.204477e-04 	 1.192344e+15 
-1.863840e+07 	 -1.287580e+04 	 -3.891418e-01 	 1.761644e-03 	 1.197741e+15 
-1.641131e+07 	 9.132315e+03 	 -3.425982e-01 	 2.211044e-03 	 1.201340e+15 
-1.426085e+07 	 7.114952e+03 	 -2.974912e-01 	 2.085859e-03 	 1.202045e+15 
-1.248325e+07 	 1.676437e+04 	 -2.599682e-01 	 2.129350e-03 	 1.206137e+15 
-1.100181e+07 	 3.560153e+04 	 -2.286987e-01 	 2.591805e-03 	 1.209622e+15 
-9.571015e+06 	 5.681808e+04 	 -1.989009e-01 	 3.074476e-03 	 1.210488e+15 
-8.215486e+06 	 9.637073e+04 	 -1.702530e-01 	 3.889270e-03 	 1.211123e+15 
-7.101312e+06 	 1.239949e+05 	 -1.469248e-01 	 4.585422e-03 	 1.213973e+15 
-6.348469e+06 	 1.111808e+05 	 -1.311672e-01 	 4.425945e-03 	 1.218080e+15 
-5.726797e+06 	 8.969606e+04 	 -1.182102e-01 	 3.953559e-03 	 1.219654e+15 
-5.145056e+06 	 3.910034e+04 	 -1.059049e-01 	 2.922308e-03 	 1.219985e+15 
-4.557536e+06 	 -4.498823e+04 	 -9.361171e-02 	 1.035251e-03 	 1.220049e+15 
-4.197457e+06 	 -1.561467e+05 	 -8.601159e-02 	 -1.370370e-03 	 1.222682e+15 
-3.842802e+06 	 -2.933574e+05 	 -7.863248e-02 	 -4.310413e-03 	 1.222769e+15 
